"","FIPS","County","Median_HH_Income","Population","Year"
"116","05009","Boone County, Arkansas",36341,36839,2009
"117","05011","Bradley County, Arkansas",11967,26207,2009
"118","05013","Calhoun County, Arkansas",5411,32148,2009
"119","05015","Carroll County, Arkansas",27321,32978,2009
"120","05017","Chicot County, Arkansas",12279,20543,2009
"121","05019","Clark County, Arkansas",23601,31409,2009
"122","05021","Clay County, Arkansas",16045,29282,2009
"123","05023","Cleburne County, Arkansas",25292,36405,2009
"124","05025","Cleveland County, Arkansas",8640,35063,2009
"125","05027","Columbia County, Arkansas",24292,35258,2009
"126","05029","Conway County, Arkansas",20619,33554,2009
"127","05031","Craighead County, Arkansas",91474,39431,2009
"128","05033","Crawford County, Arkansas",58740,38942,2009
"129","05035","Crittenden County, Arkansas",52199,32323,2009
"130","05037","Cross County, Arkansas",18801,36036,2009
"131","05039","Dallas County, Arkansas",8214,28233,2009
"132","05041","Desha County, Arkansas",13737,27072,2009
"133","05043","Drew County, Arkansas",18699,32061,2009
"134","05045","Faulkner County, Arkansas",104468,44600,2009
"135","05047","Franklin County, Arkansas",18037,30991,2009
"136","05049","Fulton County, Arkansas",11700,30771,2009
"137","05051","Garland County, Arkansas",96285,36454,2009
"138","05053","Grant County, Arkansas",17544,51238,2009
"139","05055","Greene County, Arkansas",40190,38012,2009
"140","05057","Hempstead County, Arkansas",23094,35518,2009
"141","05059","Hot Spring County, Arkansas",31621,36095,2009
"142","05061","Howard County, Arkansas",14253,33180,2009
"143","05063","Independence County, Arkansas",34462,34798,2009
"144","05065","Izard County, Arkansas",13086,32269,2009
"145","05067","Jackson County, Arkansas",17038,28680,2009
"146","05069","Jefferson County, Arkansas",79698,35265,2009
"147","05071","Johnson County, Arkansas",24576,30953,2009
"148","05073","Lafayette County, Arkansas",7715,26491,2009
"149","05075","Lawrence County, Arkansas",16912,29119,2009
"150","05077","Lee County, Arkansas",10776,26283,2009
"151","05079","Lincoln County, Arkansas",13753,34876,2009
"152","05081","Little River County, Arkansas",12921,32884,2009
"153","05083","Logan County, Arkansas",22550,35716,2009
"154","05085","Lonoke County, Arkansas",63424,50295,2009
"155","05087","Madison County, Arkansas",15478,36667,2009
"156","05089","Marion County, Arkansas",16581,31772,2009
"157","05091","Miller County, Arkansas",42971,39090,2009
"158","05093","Mississippi County, Arkansas",46778,32940,2009
"159","05095","Monroe County, Arkansas",8606,29607,2009
"160","05097","Montgomery County, Arkansas",9064,36095,2009
"161","05099","Nevada County, Arkansas",9324,32969,2009
"162","05101","Newton County, Arkansas",8311,28166,2009
"163","05103","Ouachita County, Arkansas",26016,30167,2009
"164","05105","Perry County, Arkansas",10294,44921,2009
"165","05107","Phillips County, Arkansas",22002,26336,2009
"166","05109","Pike County, Arkansas",10763,33024,2009
"167","05111","Poinsett County, Arkansas",24865,31894,2009
"168","05113","Polk County, Arkansas",20140,33274,2009
"169","05115","Pope County, Arkansas",58963,38511,2009
"170","05117","Prairie County, Arkansas",8776,32176,2009
"171","05119","Pulaski County, Arkansas",375518,44370,2009
"172","05121","Randolph County, Arkansas",18058,28427,2009
"173","05123","St. Francis County, Arkansas",26769,27016,2009
"174","05125","Saline County, Arkansas",95000,51082,2009
"175","05127","Scott County, Arkansas",11170,33969,2009
"176","05129","Searcy County, Arkansas",8002,27071,2009
"177","05131","Sebastian County, Arkansas",121325,39131,2009
"178","05133","Sevier County, Arkansas",16516,34090,2009
"179","05135","Sharp County, Arkansas",17689,29589,2009
"180","05137","Stone County, Arkansas",11920,27167,2009
"181","05139","Union County, Arkansas",43157,35732,2009
"182","05141","Van Buren County, Arkansas",16411,30531,2009
"183","05143","Washington County, Arkansas",193353,43317,2009
"184","05145","White County, Arkansas",73838,38417,2009
"185","05147","Woodruff County, Arkansas",7677,27880,2009
"186","05149","Yell County, Arkansas",21912,36398,2009
"187","06001","Alameda County, California",1457095,68863,2009
"188","06003","Alpine County, California",1153,54605,2009
"189","06005","Amador County, California",38039,57347,2009
"190","06007","Butte County, California",217917,42002,2009
"191","06009","Calaveras County, California",46548,57676,2009
"192","06011","Colusa County, California",21001,47150,2009
"193","06013","Contra Costa County, California",1015571,77838,2009
"194","06015","Del Norte County, California",28729,38408,2009
"195","06017","El Dorado County, California",175941,70765,2009
"196","06019","Fresno County, California",890750,46230,2009
"197","06021","Glenn County, California",27891,40973,2009
"198","06023","Humboldt County, California",129003,39124,2009
"199","06025","Imperial County, California",160034,37595,2009
"200","06027","Inyo County, California",17438,44952,2009
"201","06029","Kern County, California",780953,46216,2009
"202","06031","Kings County, California",146696,46595,2009
"203","06033","Lake County, California",64756,41182,2009
"204","06035","Lassen County, California",34428,48653,2009
"205","06037","Los Angeles County, California",9785295,54828,2009
"206","06039","Madera County, California",144794,46083,2009
"207","06041","Marin County, California",246711,87728,2009
"208","06043","Mariposa County, California",17865,47808,2009
"209","06045","Mendocino County, California",86030,43404,2009
"210","06047","Merced County, California",242235,43848,2009
"211","06049","Modoc County, California",9162,34007,2009
"212","06051","Mono County, California",12925,51970,2009
"213","06053","Monterey County, California",404922,59693,2009
"214","06055","Napa County, California",132173,68416,2009
"215","06057","Nevada County, California",97063,58186,2009
"216","06059","Orange County, California",2976831,73738,2009
"217","06061","Placer County, California",332059,73550,2009
"218","06063","Plumas County, California",20550,44727,2009
"219","06065","Riverside County, California",2036304,58155,2009
"220","06067","Sacramento County, California",1375605,56799,2009
"221","06069","San Benito County, California",54752,68567,2009
"222","06071","San Bernardino County, California",1986635,55461,2009
"223","06073","San Diego County, California",2987543,62901,2009
"224","06075","San Francisco County, California",797271,70040,2009
"225","06077","San Joaquin County, California",664641,54540,2009
"226","06079","San Luis Obispo County, California",262149,55555,2009
"227","06081","San Mateo County, California",701886,84426,2009
"228","06083","Santa Barbara County, California",402025,59350,2009
"229","06085","Santa Clara County, California",1729378,85569,2009
"230","06087","Santa Cruz County, California",251398,64349,2009
"231","06089","Shasta County, California",179387,44755,2009
"232","06091","Sierra County, California",3240,53750,2009
"233","06093","Siskiyou County, California",44404,37938,2009
"234","06095","Solano County, California",406461,67920,2009
"235","06097","Sonoma County, California",464218,63848,2009
"236","06099","Stanislaus County, California",505165,51529,2009
"237","06101","Sutter County, California",90731,52155,2009
"238","06103","Tehama County, California",60601,36949,2009
"239","06105","Trinity County, California",13922,35551,2009
"240","06107","Tulare County, California",416299,43164,2009
"241","06109","Tuolumne County, California",55761,48354,2009
"242","06111","Ventura County, California",792313,74828,2009
"243","06113","Yolo County, California",192974,56232,2009
"244","06115","Yuba County, California",70906,46410,2009
"245","08001","Adams County, Colorado",419439,55258,2009
"246","08003","Alamosa County, Colorado",15353,32362,2009
"247","08005","Arapahoe County, Colorado",544157,58968,2009
"248","08007","Archuleta County, Colorado",12225,54909,2009
"249","08009","Baca County, Colorado",3847,33504,2009
"250","08011","Bent County, Colorado",6128,35647,2009
"251","08013","Boulder County, Colorado",295524,65040,2009
"252","08014","Broomfield County, Colorado",52882,76240,2009
"253","08015","Chaffee County, Colorado",16870,42808,2009
"254","08017","Cheyenne County, Colorado",1622,46313,2009
"255","08019","Clear Creek County, Colorado",8886,62823,2009
"256","08021","Conejos County, Colorado",8021,33141,2009
"257","08023","Costilla County, Colorado",3282,23041,2009
"258","08025","Crowley County, Colorado",6311,35494,2009
"259","08027","Custer County, Colorado",3598,44713,2009
"260","08029","Delta County, Colorado",30353,40658,2009
"261","08031","Denver County, Colorado",582447,45438,2009
"262","08033","Dolores County, Colorado",1771,41961,2009
"263","08035","Douglas County, Colorado",269451,99522,2009
"264","08037","Eagle County, Colorado",50614,69139,2009
"265","08039","Elbert County, Colorado",22786,74345,2009
"266","08041","El Paso County, Colorado",586446,56570,2009
"267","08043","Fremont County, Colorado",47393,37852,2009
"268","08045","Garfield County, Colorado",52878,64837,2009
"269","08047","Gilpin County, Colorado",5177,55455,2009
"270","08049","Grand County, Colorado",13550,58981,2009
"271","08051","Gunnison County, Colorado",14924,44577,2009
"272","08053","Hinsdale County, Colorado",554,53750,2009
"273","08055","Huerfano County, Colorado",7713,31136,2009
"274","08057","Jackson County, Colorado",1305,32788,2009
"275","08059","Jefferson County, Colorado",529025,65891,2009
"276","08061","Kiowa County, Colorado",1644,42422,2009
"277","08063","Kit Carson County, Colorado",8072,40754,2009
"278","08065","Lake County, Colorado",8025,39147,2009
"279","08067","La Plata County, Colorado",49678,53713,2009
"280","08069","Larimer County, Colorado",286978,54755,2009
"281","08071","Las Animas County, Colorado",15814,37587,2009
"282","08073","Lincoln County, Colorado",5285,39572,2009
"283","08075","Logan County, Colorado",20828,39992,2009
"284","08077","Mesa County, Colorado",137879,50611,2009
"285","08079","Mineral County, Colorado",1077,52153,2009
"286","08081","Moffat County, Colorado",13555,53723,2009
"287","08083","Montezuma County, Colorado",25000,43697,2009
"288","08085","Montrose County, Colorado",39303,44922,2009
"289","08087","Morgan County, Colorado",27630,43317,2009
"290","08089","Otero County, Colorado",18833,32149,2009
"291","08091","Ouray County, Colorado",4519,58836,2009
"292","08093","Park County, Colorado",16788,60186,2009
"293","08095","Phillips County, Colorado",4479,39830,2009
"294","08097","Pitkin County, Colorado",15314,62318,2009
"295","08099","Prowers County, Colorado",13206,35166,2009
"296","08101","Pueblo County, Colorado",153814,40805,2009
"297","08103","Rio Blanco County, Colorado",6183,54812,2009
"298","08105","Rio Grande County, Colorado",11743,39683,2009
"299","08107","Routt County, Colorado",22356,64046,2009
"300","08109","Saguache County, Colorado",6929,29523,2009
"301","08111","San Juan County, Colorado",686,44336,2009
"302","08113","San Miguel County, Colorado",7385,60457,2009
"303","08115","Sedgwick County, Colorado",2378,37792,2009
"304","08117","Summit County, Colorado",26246,67329,2009
"305","08119","Teller County, Colorado",21554,56686,2009
"306","08121","Washington County, Colorado",4647,38818,2009
"307","08123","Weld County, Colorado",241221,55795,2009
"308","08125","Yuma County, Colorado",9630,39945,2009
"309","09001","Fairfield County, Connecticut",892843,81114,2009
"310","09003","Hartford County, Connecticut",874409,62829,2009
"311","09005","Litchfield County, Connecticut",188411,69561,2009
"312","09007","Middlesex County, Connecticut",164004,74965,2009
"313","09009","New Haven County, Connecticut",843532,61234,2009
"314","09011","New London County, Connecticut",266183,65120,2009
"315","09013","Tolland County, Connecticut",148526,76498,2009
"316","09015","Windham County, Connecticut",116579,57427,2009
"317","10001","Kent County, Delaware",151332,52016,2009
"318","10003","New Castle County, Delaware",527774,63160,2009
"319","10005","Sussex County, Delaware",184726,50537,2009
"320","11001","District of Columbia, District of Columbia",588433,56519,2009
"321","12001","Alachua County, Florida",238990,39345,2009
"322","12003","Baker County, Florida",25478,46315,2009
"323","12005","Bay County, Florida",163451,46240,2009
"324","12007","Bradford County, Florida",28841,40519,2009
"325","12009","Brevard County, Florida",532697,49114,2009
"326","12011","Broward County, Florida",1759132,51731,2009
"327","12013","Calhoun County, Florida",13525,29642,2009
"328","12015","Charlotte County, Florida",156043,44639,2009
"329","12017","Citrus County, Florida",138161,37807,2009
"330","12019","Clay County, Florida",179850,60352,2009
"331","12021","Collier County, Florida",313165,58133,2009
"332","12023","Columbia County, Florida",67397,39078,2009
"333","12027","DeSoto County, Florida",34890,37226,2009
"334","12029","Dixie County, Florida",14800,31426,2009
"335","12031","Duval County, Florida",846385,49135,2009
"336","12033","Escambia County, Florida",303292,43148,2009
"337","12035","Flagler County, Florida",85623,47573,2009
"338","12037","Franklin County, Florida",10998,38436,2009
"339","12039","Gadsden County, Florida",46725,35423,2009
"340","12041","Gilchrist County, Florida",16771,41048,2009
"341","12043","Glades County, Florida",11070,39260,2009
"342","12045","Gulf County, Florida",15714,38574,2009
"343","12047","Hamilton County, Florida",14228,35632,2009
"344","12049","Hardee County, Florida",28684,38865,2009
"345","12051","Hendry County, Florida",39244,37354,2009
"346","12053","Hernando County, Florida",166338,42457,2009
"347","12055","Highlands County, Florida",97738,33902,2009
"348","12057","Hillsborough County, Florida",1167116,49594,2009
"349","12059","Holmes County, Florida",19065,33868,2009
"350","12061","Indian River County, Florida",131811,46550,2009
"351","12063","Jackson County, Florida",49618,36442,2009
"352","12065","Jefferson County, Florida",13933,44011,2009
"353","12067","Lafayette County, Florida",7981,46551,2009
"354","12069","Lake County, Florida",297828,44837,2009
"355","12071","Lee County, Florida",573676,50362,2009
"356","12073","Leon County, Florida",261023,42889,2009
"357","12075","Levy County, Florida",38555,35294,2009
"358","12077","Liberty County, Florida",7811,39583,2009
"359","12079","Madison County, Florida",18924,36682,2009
"360","12081","Manatee County, Florida",313011,47935,2009
"361","12083","Marion County, Florida",318886,40306,2009
"362","12085","Martin County, Florida",138791,52734,2009
"363","12086","Miami-Dade County, Florida",2457044,42969,2009
"364","12087","Monroe County, Florida",74024,54946,2009
"365","12089","Nassau County, Florida",67977,57907,2009
"366","12091","Okaloosa County, Florida",180955,53741,2009
"367","12093","Okeechobee County, Florida",39936,38643,2009
"368","12095","Orange County, Florida",1062344,50352,2009
"369","12097","Osceola County, Florida",254739,46315,2009
"370","12099","Palm Beach County, Florida",1268601,53538,2009
"371","12101","Pasco County, Florida",453933,43690,2009
"372","12103","Pinellas County, Florida",915003,44838,2009
"373","12105","Polk County, Florida",566657,44043,2009
"374","12107","Putnam County, Florida",73250,33711,2009
"375","12109","St. Johns County, Florida",174994,63630,2009
"376","12111","St. Lucie County, Florida",255984,46656,2009
"377","12113","Santa Rosa County, Florida",147302,54250,2009
"378","12115","Sarasota County, Florida",367446,49013,2009
"379","12117","Seminole County, Florida",408694,58313,2009
"380","12119","Sumter County, Florida",71519,41010,2009
"381","12121","Suwannee County, Florida",39256,34157,2009
"382","12123","Taylor County, Florida",20723,35900,2009
"383","12125","Union County, Florida",14574,40694,2009
"384","12127","Volusia County, Florida",494449,43326,2009
"385","12129","Wakulla County, Florida",30232,52353,2009
"386","12131","Walton County, Florida",52528,46159,2009
"387","12133","Washington County, Florida",22997,35090,2009
"388","13001","Appling County, Georgia",17871,33537,2009
"389","13003","Atkinson County, Georgia",8124,33548,2009
"390","13005","Bacon County, Georgia",10464,31661,2009
"391","13007","Baker County, Georgia",3810,30403,2009
"392","13009","Baldwin County, Georgia",46252,38273,2009
"393","13011","Banks County, Georgia",16388,41039,2009
"394","13013","Barrow County, Georgia",66458,48285,2009
"395","13015","Bartow County, Georgia",92490,50075,2009
"396","13017","Ben Hill County, Georgia",17535,30078,2009
"397","13019","Berrien County, Georgia",16814,32029,2009
"398","13021","Bibb County, Georgia",155034,38207,2009
"399","13023","Bleckley County, Georgia",12584,37542,2009
"400","13025","Brantley County, Georgia",15442,39569,2009
"401","13027","Brooks County, Georgia",16324,40840,2009
"402","13029","Bryan County, Georgia",30109,63858,2009
"403","13031","Bulloch County, Georgia",66366,34723,2009
"404","13033","Burke County, Georgia",22807,31482,2009
"405","13035","Butts County, Georgia",23596,52760,2009
"406","13037","Calhoun County, Georgia",6113,27723,2009
"407","13039","Camden County, Georgia",47003,48967,2009
"408","13043","Candler County, Georgia",10380,35951,2009
"409","13045","Carroll County, Georgia",110641,44693,2009
"410","13047","Catoosa County, Georgia",62075,45295,2009
"411","13049","Charlton County, Georgia",10700,39734,2009
"412","13051","Chatham County, Georgia",248078,44464,2009
"413","13053","Chattahoochee County, Georgia",14364,48035,2009
"414","13055","Chattooga County, Georgia",26492,31550,2009
"415","13057","Cherokee County, Georgia",201233,66248,2009
"416","13059","Clarke County, Georgia",113112,33364,2009
"417","13061","Clay County, Georgia",3156,26769,2009
"418","13063","Clayton County, Georgia",271652,44308,2009
"419","13065","Clinch County, Georgia",7004,32410,2009
"420","13067","Cobb County, Georgia",690430,66515,2009
"421","13069","Coffee County, Georgia",40198,33119,2009
"422","13071","Colquitt County, Georgia",44633,31707,2009
"423","13073","Columbia County, Georgia",108015,67115,2009
"424","13075","Cook County, Georgia",16419,31521,2009
"425","13077","Coweta County, Georgia",118531,61854,2009
"426","13079","Crawford County, Georgia",12511,35979,2009
"427","13081","Crisp County, Georgia",22062,27545,2009
"428","13083","Dade County, Georgia",16070,40081,2009
"429","13085","Dawson County, Georgia",21330,52658,2009
"430","13087","Decatur County, Georgia",28495,32769,2009
"431","13089","DeKalb County, Georgia",733060,51973,2009
"432","13091","Dodge County, Georgia",19695,31334,2009
"433","13093","Dooly County, Georgia",11641,30172,2009
"434","13095","Dougherty County, Georgia",95330,34597,2009
"435","13097","Douglas County, Georgia",122657,55512,2009
"436","13099","Early County, Georgia",11812,28063,2009
"437","13101","Echols County, Georgia",4157,35230,2009
"438","13103","Effingham County, Georgia",50357,53883,2009
"439","13105","Elbert County, Georgia",20574,32213,2009
"440","13107","Emanuel County, Georgia",22620,27924,2009
"441","13109","Evans County, Georgia",11446,37473,2009
"442","13111","Fannin County, Georgia",22434,36785,2009
"443","13113","Fayette County, Georgia",105303,81206,2009
"444","13115","Floyd County, Georgia",95239,41952,2009
"445","13117","Forsyth County, Georgia",157514,88040,2009
"446","13119","Franklin County, Georgia",21701,34725,2009
"447","13121","Fulton County, Georgia",987148,58573,2009
"448","13123","Gilmer County, Georgia",28381,34325,2009
"449","13125","Glascock County, Georgia",2736,34036,2009
"450","13127","Glynn County, Georgia",74507,48785,2009
"451","13129","Gordon County, Georgia",51760,40283,2009
"452","13131","Grady County, Georgia",24801,34025,2009
"453","13133","Greene County, Georgia",15629,38973,2009
"454","13135","Gwinnett County, Georgia",766912,65136,2009
